id,Datum,Umsatz,is_train,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Year,Month,Day,Weekday,IsWeekend,Warengruppe_1,Warengruppe_2,Warengruppe_3,Warengruppe_4,Warengruppe_5,Warengruppe_6
1307011,2013-07-01,148.828353112183,True,6.0,17.8375,15.0,20.0,0.0,2013,7,1,0,False,True,False,False,False,False,False
1307021,2013-07-02,159.79375714468,True,3.0,17.3125,10.0,0.0,0.0,2013,7,2,1,False,True,False,False,False,False,False
1307031,2013-07-03,111.885593514353,True,7.0,21.075,6.0,61.0,0.0,2013,7,3,2,False,True,False,False,False,False,False
1307041,2013-07-04,168.864940979931,True,7.0,18.85,7.0,20.0,0.0,2013,7,4,3,False,True,False,False,False,False,False
1307051,2013-07-05,171.280754117955,True,5.0,19.975,12.0,0.0,0.0,2013,7,5,4,False,True,False,False,False,False,False
1307061,2013-07-06,174.552359998476,True,0.0,18.9625,8.0,0.0,0.0,2013,7,6,5,True,True,False,False,False,False,False
1307071,2013-07-07,92.6377553788373,True,0.0,21.375,9.0,0.0,0.0,2013,7,7,6,True,True,False,False,False,False,False
1307081,2013-07-08,135.500244042392,True,0.0,22.725,10.0,5.0,0.0,2013,7,8,0,False,True,False,False,False,False,False
1307091,2013-07-09,136.048382778344,True,0.0,23.275,8.0,0.0,0.0,2013,7,9,1,False,True,False,False,False,False,False
1307101,2013-07-10,135.132314289581,True,2.0,19.6875,13.0,5.0,0.0,2013,7,10,2,False,True,False,False,False,False,False
1307111,2013-07-11,138.549392636714,True,0.0,21.375,12.0,5.0,0.0,2013,7,11,3,False,True,False,False,False,False,False
1307121,2013-07-12,101.447511461298,True,0.0,20.2875,7.0,0.0,0.0,2013,7,12,4,False,True,False,False,False,False,False
1307131,2013-07-13,141.233309883732,True,1.0,20.125,12.0,0.0,0.0,2013,7,13,5,True,True,False,False,False,False,False
1307141,2013-07-14,112.524365708762,True,5.0,17.6875,15.0,5.0,0.0,2013,7,14,6,True,True,False,False,False,False,False
1307151,2013-07-15,161.264677322182,True,6.0,18.7375,12.0,0.0,0.0,2013,7,15,0,False,True,False,False,False,False,False
1307161,2013-07-16,116.821358174215,True,1.0,21.1875,10.0,0.0,0.0,2013,7,16,1,False,True,False,False,False,False,False
1307171,2013-07-17,150.572919592838,True,5.0,22.5125,8.0,0.0,0.0,2013,7,17,2,False,True,False,False,False,False,False
1307181,2013-07-18,101.90072129658,True,1.0,23.25,11.0,5.0,0.0,2013,7,18,3,False,True,False,False,False,False,False
1307191,2013-07-19,161.63511518654,True,3.0,22.475,16.0,5.0,0.0,2013,7,19,4,False,True,False,False,False,False,False
1307201,2013-07-20,134.328076682024,True,0.0,23.1875,8.0,0.0,0.0,2013,7,20,5,True,True,False,False,False,False,False
1307211,2013-07-21,66.2887578161955,True,0.0,26.375,8.0,0.0,0.0,2013,7,21,6,True,True,False,False,False,False,False
1307221,2013-07-22,131.223948997842,True,0.0,26.1,9.0,0.0,0.0,2013,7,22,0,False,True,False,False,False,False,False
1307231,2013-07-23,110.315246796665,True,0.0,24.95,12.0,0.0,0.0,2013,7,23,1,False,True,False,False,False,False,False
1307241,2013-07-24,141.891908195545,True,3.0,24.075,11.0,0.0,0.0,2013,7,24,2,False,True,False,False,False,False,False
1307251,2013-07-25,167.701216640907,True,2.0,23.0875,9.0,0.0,0.0,2013,7,25,3,False,True,False,False,False,False,False
1307261,2013-07-26,147.272084366206,True,3.0,27.2625,6.0,0.0,0.0,2013,7,26,4,False,True,False,False,False,False,False
1307271,2013-07-27,161.403357795112,True,1.0,26.1625,10.0,0.0,0.0,2013,7,27,5,True,True,False,False,False,False,False
1307281,2013-07-28,86.0791432446654,True,4.0,24.8875,13.0,61.0,0.0,2013,7,28,6,True,True,False,False,False,False,False
1307291,2013-07-29,183.564164400591,True,1.0,22.7875,10.0,0.0,0.0,2013,7,29,0,False,True,False,False,False,False,False
1307301,2013-07-30,132.111640117897,True,5.0,21.075,13.0,21.0,0.0,2013,7,30,1,False,True,False,False,False,False,False
1307311,2013-07-31,144.745431773143,True,5.0,20.275,16.0,65.0,0.0,2013,7,31,2,False,True,False,False,False,False,False
1308011,2013-08-01,157.854023011106,True,6.0,23.4,7.0,21.0,0.0,2013,8,1,3,False,True,False,False,False,False,False
1308021,2013-08-02,117.359342094889,True,0.0,31.4375,7.0,0.0,0.0,2013,8,2,4,False,True,False,False,False,False,False
1308031,2013-08-03,186.027178770079,True,4.0,23.3625,11.0,63.0,0.0,2013,8,3,5,True,True,False,False,False,False,False
1308041,2013-08-04,104.708216687715,True,3.0,23.05,8.0,0.0,0.0,2013,8,4,6,True,True,False,False,False,False,False
1308051,2013-08-05,146.775309890073,True,0.0,25.8,10.0,0.0,0.0,2013,8,5,0,False,True,False,False,False,False,False
1308061,2013-08-06,131.956277381283,True,5.0,22.225,13.0,0.0,0.0,2013,8,6,1,False,True,False,False,False,False,False
1308071,2013-08-07,160.593417296116,True,4.0,19.2125,8.0,0.0,0.0,2013,8,7,2,False,True,False,False,False,False,False
1308081,2013-08-08,153.099424561652,True,7.0,16.975,12.0,20.0,0.0,2013,8,8,3,False,True,False,False,False,False,False
1308091,2013-08-09,125.620344387906,True,4.0,20.3375,10.0,21.0,0.0,2013,8,9,4,False,True,False,False,False,False,False
1308101,2013-08-10,185.177162656408,True,7.0,19.3625,12.0,61.0,0.0,2013,8,10,5,True,True,False,False,False,False,False
1308111,2013-08-11,73.2088330039992,True,7.0,16.3875,9.0,61.0,0.0,2013,8,11,6,True,True,False,False,False,False,False
1308121,2013-08-12,154.504729536697,True,7.0,16.45,11.0,63.0,0.0,2013,8,12,0,False,True,False,False,False,False,False
1308131,2013-08-13,134.064451548102,True,3.0,16.4,16.0,95.0,0.0,2013,8,13,1,False,True,False,False,False,False,False
1308141,2013-08-14,156.972510536869,True,4.0,18.2625,18.0,61.0,0.0,2013,8,14,2,False,True,False,False,False,False,False
1308151,2013-08-15,164.763795399756,True,3.0,19.8,8.0,0.0,0.0,2013,8,15,3,False,True,False,False,False,False,False
1308161,2013-08-16,147.79799759804,True,4.0,23.575,11.0,0.0,0.0,2013,8,16,4,False,True,False,False,False,False,False
1308171,2013-08-17,221.630418006017,True,6.0,20.55,7.0,0.0,0.0,2013,8,17,5,True,True,False,False,False,False,False
1308181,2013-08-18,92.489778506026,True,7.0,18.5875,10.0,63.0,0.0,2013,8,18,6,True,True,False,False,False,False,False
1308191,2013-08-19,145.87913275728,True,5.0,18.4875,8.0,0.0,0.0,2013,8,19,0,False,True,False,False,False,False,False
1308201,2013-08-20,111.842396126739,True,7.0,17.775,8.0,61.0,0.0,2013,8,20,1,False,True,False,False,False,False,False
1308211,2013-08-21,125.336522713024,True,5.0,20.125,8.0,0.0,0.0,2013,8,21,2,False,True,False,False,False,False,False
1308221,2013-08-22,132.916428220302,True,4.0,21.6625,8.0,0.0,0.0,2013,8,22,3,False,True,False,False,False,False,False
1308231,2013-08-23,162.958958703106,True,1.0,22.0375,14.0,0.0,0.0,2013,8,23,4,False,True,False,False,False,False,False
1308241,2013-08-24,201.543109556297,True,0.0,20.85,16.0,5.0,0.0,2013,8,24,5,True,True,False,False,False,False,False
